example_id,change_type,title,description,final_demand,income_tax_rate_before,income_tax_rate_after,corporate_tax_rate_before,corporate_tax_rate_after,income_tax_applies_to,iterations,consumption_proportions,investment_proportions,government_proportions,tech_change_function_name,use_multi_level,tech_change_params
7,tech_change,Energy Efficiency Improvement (30% reduction),Reduce treatment-good (energy proxy) inputs by 30% across all sectors,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,energy_efficiency_30pct,,"[{""method"": ""add_input_change"", ""params"": {""input_sector_idx"": ""A6178_413_70647"", ""change_type"": ""multiply"", ""value"": 0.7}}]"
8,tech_change,Manufacturing Productivity Improvement (20% all inputs),Rate-good sector improves production process reducing all inputs by 20%,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,manufacturing_productivity_20pct,,"[{""method"": ""add_sector_change"", ""params"": {""sector_idx"": ""A2327_978_13"", ""change_type"": ""multiply"", ""value"": 0.8, ""exclude_inputs"": []}}]"
9,tech_change,Substitution: Reduce Labor Input / Increase Capital Input,Medical-good sector automates: reduce rate-good (labor proxy) input by 40% and increase listen-good (capital proxy) input by 15%,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,automation_substitution,,"[{""method"": ""add_coefficient_change"", ""params"": {""sector_idx"": ""A3790_132_63"", ""input_sector_idx"": ""A2327_978_13"", ""change_type"": ""multiply"", ""value"": 0.6}}, {""method"": ""add_coefficient_change"", ""params"": {""sector_idx"": ""A3790_132_63"", ""input_sector_idx"": ""A2227_974_71103"", ""change_type"": ""multiply"", ""value"": 1.15}}]"
10,tech_change,Material Efficiency: Reduce Waste in Production,Treatment-good sector reduces listen-good material waste by 25%,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,material_efficiency,,"[{""method"": ""add_coefficient_change"", ""params"": {""sector_idx"": ""A6178_413_70647"", ""input_sector_idx"": ""A2227_974_71103"", ""change_type"": ""multiply"", ""value"": 0.75}}]"
11,tech_change,Economy-Wide Green Technology Transition,Multiple green improvements: 25% energy efficiency plus 15% productivity in two sectors plus 10% in a third,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,green_transition,,"[{""method"": ""add_input_change"", ""params"": {""input_sector_idx"": ""A6178_413_70647"", ""change_type"": ""multiply"", ""value"": 0.75}}, {""method"": ""add_sector_change"", ""params"": {""sector_idx"": ""A2327_978_13"", ""change_type"": ""multiply"", ""value"": 0.85, ""exclude_inputs"": []}}, {""method"": ""add_sector_change"", ""params"": {""sector_idx"": ""A3790_132_63"", ""change_type"": ""multiply"", ""value"": 0.85, ""exclude_inputs"": []}}, {""method"": ""add_sector_change"", ""params"": {""sector_idx"": ""A1397_975_51074"", ""change_type"": ""multiply"", ""value"": 0.9, ""exclude_inputs"": []}}]"
12,tech_change,Custom Scenario: Specific Coefficient Changes,Fine-grained control over specific A-matrix coefficients,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,custom_changes,,"[{""method"": ""add_coefficient_change"", ""params"": {""sector_idx"": ""A2327_978_13"", ""input_sector_idx"": ""A1397_975_51074"", ""change_type"": ""multiply"", ""value"": 0.7}}, {""method"": ""add_coefficient_change"", ""params"": {""sector_idx"": ""A2327_978_13"", ""input_sector_idx"": ""A6178_413_70647"", ""change_type"": ""multiply"", ""value"": 0.8}}, {""method"": ""add_coefficient_change"", ""params"": {""sector_idx"": ""A3790_132_63"", ""input_sector_idx"": ""A2227_974_71103"", ""change_type"": ""add"", ""value"": 0.05}}]"
13,tech_change,Multi-Level: Production-Level Modernization,Firm-level technology affecting production methods,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,production_level_modernization,True,"[{""method"": ""add_production_all_inputs_change"", ""params"": {""production_id"": 1, ""change_type"": ""multiply"", ""value"": 0.9}}, {""method"": ""add_production_efficiency_change"", ""params"": {""production_id"": 2, ""efficiency_type"": ""material"", ""change_type"": ""add"", ""value"": 15}}, {""method"": ""add_sector_change"", ""params"": {""sector_idx"": ""A3790_132_63"", ""change_type"": ""multiply"", ""value"": 0.95, ""exclude_inputs"": []}}]"
14,tech_change,Multi-Level: Capacity Expansion with Cost Reduction,New production capacity at lower cost,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,capacity_expansion,True,"[{""method"": ""add_curve_new_tier"", ""params"": {""isic"": ""A2327_978_13"", ""cap"": 100, ""price"": 35.0, ""position"": 0}}, {""method"": ""add_curve_tier_change"", ""params"": {""isic"": ""A1397_975_51074"", ""tier_index"": 0, ""field"": ""cap"", ""change_type"": ""multiply"", ""value"": 1.5}}, {""method"": ""add_curve_scale_all_tiers"", ""params"": {""isic"": ""A2227_974_71103"", ""field"": ""price"", ""change_type"": ""multiply"", ""value"": 0.85}}]"
15,tech_change,COMBINED: Green Transition + Carbon Tax Policy,Energy efficiency with carbon tax funding,250.0;200.0;300.0;150.0;100.0;0.0,0.1,0.15,0.25,0.3,wages,8,,,,green_tech_carbon_tax,True,"[{""method"": ""add_input_change"", ""params"": {""input_sector_idx"": ""A6178_413_70647"", ""change_type"": ""multiply"", ""value"": 0.7}}, {""method"": ""add_sector_change"", ""params"": {""sector_idx"": ""A2327_978_13"", ""change_type"": ""multiply"", ""value"": 0.85, ""exclude_inputs"": []}}]"
16,tech_change,Energy Efficiency with Capital Investment,Reduce energy inputs by 20% across all sectors - requires $300 capital investment before taking effect,100.0;100.0;100.0;100.0;100.0;0.0,,,,,,5,,,,energy_efficiency_capital,True,"[{""method"": ""add_input_change"", ""params"": {""input_sector_idx"": ""A6178_413_70647"", ""change_type"": ""multiply"", ""value"": 0.8}}, {""method"": ""set_capital_requirements"", ""params"": {""requirements"": {""A2227_974_71103"": 200.0, ""A3790_132_63"": 100.0}, ""investment_duration"": 2}}]"
