id,name,descriptive_name,id_number,isic,producer,produce,produce_name,production_inputs,production_added_values,production_rate,production_quantity,production_material_efficiency,production_labour_efficiency,production_energy_efficiency,contact_name,contact_email,contact_phone,contact_phone2,contact_website,address,address_street,address_city,address_country,address_postal_code,total_inputs_cost,total_value_added,price
1,IMPORT,,92365,A4173_965_13,99999,2365,Establish Good,"{""A9999_999_999"": 725}","{""tariffs"": 38}",0,-1,,,,,,,,,,,,,,,,744
2,Point Production,,4799,A4173_965_13,7597,2365,Should Good,"{""A2901_732_97121"": 16, ""A4486_228_17897"": 23, ""A6638_188_005"": 44, ""A4406_637_3"": 48}","{""wages"": 8, ""surplus"": 11, ""taxes"": 3, ""mixed_income"": 5}",17,15,,,,,,,,,,,,,,,,1705
3,Join Production,,4511,A4173_965_13,4366,2365,Term Good,"{""A6638_188_005"": 20, ""A2901_732_97121"": 43, ""A4486_228_17897"": 30, ""A4406_637_3"": 4}","{""wages"": 17, ""surplus"": 5, ""taxes"": 10, ""mixed_income"": 2}",45,93,,,,,,,,,,,,,,,,2291
4,Southern Production,,4983,A4173_965_13,1034,2365,Five Good,"{""A4486_228_17897"": 1, ""A4406_637_3"": 35, ""A2901_732_97121"": 36, ""A6638_188_005"": 10}","{""wages"": 14, ""surplus"": 20, ""taxes"": 10, ""mixed_income"": 7}",35,34,,,,,,,,,,,,,,,,4244
5,Great Production,,4303,A4173_965_13,7785,2365,Whole Good,"{""A2901_732_97121"": 34, ""A6638_188_005"": 34}","{""wages"": 16, ""surplus"": 20, ""taxes"": 11, ""mixed_income"": 8}",42,49,,,,,,,,,,,,,,,,3382
6,IMPORT,,92157,A2901_732_97121,99999,2157,Happen Good,"{""A9999_999_999"": 242}","{""tariffs"": 7}",0,-1,,,,,,,,,,,,,,,,276
7,Direction Production,,4808,A2901_732_97121,7337,2157,Even Good,"{""A4173_965_13"": 49, ""A4486_228_17897"": 40, ""A4406_637_3"": 30}","{""wages"": 6, ""surplus"": 3, ""taxes"": 8, ""mixed_income"": 13}",35,76,,,,,,,,,,,,,,,,4538
8,Fly Production,,4267,A2901_732_97121,8923,2157,Strategy Good,"{""A4173_965_13"": 7, ""A6638_188_005"": 49}","{""wages"": 9, ""surplus"": 8, ""taxes"": 3, ""mixed_income"": 6}",54,28,,,,,,,,,,,,,,,,1941
9,Pm Production,,4398,A2901_732_97121,3778,2157,Yes Good,"{""A4406_637_3"": 12, ""A4486_228_17897"": 29}","{""wages"": 10, ""surplus"": 9, ""taxes"": 6, ""mixed_income"": 14}",15,87,,,,,,,,,,,,,,,,3893
10,Deal Production,,4490,A2901_732_97121,2887,2157,Model Good,"{""A4406_637_3"": 32, ""A4486_228_17897"": 31}","{""wages"": 15, ""surplus"": 5, ""taxes"": 6, ""mixed_income"": 10}",42,19,,,,,,,,,,,,,,,,4189
11,IMPORT,,92160,A4406_637_3,99999,2160,Marriage Good,"{""A9999_999_999"": 1000}","{""tariffs"": 6}",0,-1,,,,,,,,,,,,,,,,1004
