example_id,tech_change_id,change_type,title,description,final_demand,income_tax_rate_before,income_tax_rate_after,corporate_tax_rate_before,corporate_tax_rate_after,income_tax_applies_to,iterations,wage_proportions,surplus_proportions,government_proportions,use_multi_level,sequence_number,method,sector_idx,input_sector_idx,production_id,isic,tier_index,field,change_type_param,value,efficiency_type,va_component,input_isic,exclude_list,position,cap,price,va_components,requirements,investment_duration
7,energy_efficiency_30pct,tech_change,Energy Efficiency Improvement (30% reduction),Reduce treatment-good (energy proxy) inputs by 30% across all sectors,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,3,,,,,1,add_input_change,,A6178_413_70647,,,,,multiply,0.7,,,,,,,,,,
8,manufacturing_productivity_20pct,tech_change,Manufacturing Productivity Improvement (20% all inputs),Rate-good sector improves production process reducing all inputs by 20%,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,1,add_sector_change,A2327_978_13,,,,,,multiply,0.8,,,,,,,,,,
9,automation_substitution,tech_change,Substitution: Reduce Labor Input / Increase Capital Input,Medical-good sector automates: reduce rate-good (labor proxy) input by 40% and increase listen-good (capital proxy) input by 15%,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,1,add_coefficient_change,A3790_132_63,A2327_978_13,,,,,multiply,0.6,,,,,,,,,,
9,automation_substitution,tech_change,Substitution: Reduce Labor Input / Increase Capital Input,Medical-good sector automates: reduce rate-good (labor proxy) input by 40% and increase listen-good (capital proxy) input by 15%,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,2,add_coefficient_change,A3790_132_63,A2227_974_71103,,,,,multiply,1.15,,,,,,,,,,
10,material_efficiency,tech_change,Material Efficiency: Reduce Waste in Production,Treatment-good sector reduces listen-good material waste by 25%,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,1,add_coefficient_change,A6178_413_70647,A2227_974_71103,,,,,multiply,0.75,,,,,,,,,,
11,green_transition,tech_change,Economy-Wide Green Technology Transition,Multiple green improvements: 25% energy efficiency plus 15% productivity in two sectors plus 10% in a third,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,1,add_input_change,,A6178_413_70647,,,,,multiply,0.75,,,,,,,,,,
11,green_transition,tech_change,Economy-Wide Green Technology Transition,Multiple green improvements: 25% energy efficiency plus 15% productivity in two sectors plus 10% in a third,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,2,add_sector_change,A2327_978_13,,,,,,multiply,0.85,,,,,,,,,,
11,green_transition,tech_change,Economy-Wide Green Technology Transition,Multiple green improvements: 25% energy efficiency plus 15% productivity in two sectors plus 10% in a third,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,3,add_sector_change,A3790_132_63,,,,,,multiply,0.85,,,,,,,,,,
11,green_transition,tech_change,Economy-Wide Green Technology Transition,Multiple green improvements: 25% energy efficiency plus 15% productivity in two sectors plus 10% in a third,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,4,add_sector_change,A1397_975_51074,,,,,,multiply,0.9,,,,,,,,,,
12,custom_changes,tech_change,Custom Scenario: Specific Coefficient Changes,Fine-grained control over specific A-matrix coefficients,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,1,add_coefficient_change,A2327_978_13,A1397_975_51074,,,,,multiply,0.7,,,,,,,,,,
12,custom_changes,tech_change,Custom Scenario: Specific Coefficient Changes,Fine-grained control over specific A-matrix coefficients,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,2,add_coefficient_change,A2327_978_13,A6178_413_70647,,,,,multiply,0.8,,,,,,,,,,
12,custom_changes,tech_change,Custom Scenario: Specific Coefficient Changes,Fine-grained control over specific A-matrix coefficients,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,,3,add_coefficient_change,A3790_132_63,A2227_974_71103,,,,,add,0.05,,,,,,,,,,
13,production_level_modernization,tech_change,Multi-Level: Production-Level Modernization,Firm-level technology affecting production methods,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,True,1,add_production_all_inputs_change,,,1,,,,multiply,0.9,,,,,,,,,,
13,production_level_modernization,tech_change,Multi-Level: Production-Level Modernization,Firm-level technology affecting production methods,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,True,2,add_production_efficiency_change,,,2,,,,add,15,material,,,,,,,,,
13,production_level_modernization,tech_change,Multi-Level: Production-Level Modernization,Firm-level technology affecting production methods,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,True,3,add_sector_change,A3790_132_63,,,,,,multiply,0.95,,,,,,,,,,
14,capacity_expansion,tech_change,Multi-Level: Capacity Expansion with Cost Reduction,New production capacity at lower cost,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,True,1,add_curve_new_tier,,,,A2327_978_13,,,,,,,,,0,100,35.0,,,
14,capacity_expansion,tech_change,Multi-Level: Capacity Expansion with Cost Reduction,New production capacity at lower cost,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,True,2,add_curve_tier_change,,,,A1397_975_51074,0,cap,multiply,1.5,,,,,,,,,,
14,capacity_expansion,tech_change,Multi-Level: Capacity Expansion with Cost Reduction,New production capacity at lower cost,250.0;200.0;300.0;150.0;100.0;0.0,,,,,,,,,,True,3,add_curve_scale_all_tiers,,,,A2227_974_71103,,price,multiply,0.85,,,,,,,,,,
15,green_tech_carbon_tax,tech_change,COMBINED: Green Transition + Carbon Tax Policy,Energy efficiency with carbon tax funding,250.0;200.0;300.0;150.0;100.0;0.0,0.1,0.15,0.25,0.3,wages,8,,,,True,1,add_input_change,,A6178_413_70647,,,,,multiply,0.7,,,,,,,,,,
15,green_tech_carbon_tax,tech_change,COMBINED: Green Transition + Carbon Tax Policy,Energy efficiency with carbon tax funding,250.0;200.0;300.0;150.0;100.0;0.0,0.1,0.15,0.25,0.3,wages,8,,,,True,2,add_sector_change,A2327_978_13,,,,,,multiply,0.85,,,,,,,,,,
16,energy_efficiency_capital,tech_change,Energy Efficiency with Capital Investment,Reduce energy inputs by 20% across all sectors - requires $300 capital investment before taking effect,100.0;100.0;100.0;100.0;100.0;0.0,,,,,,5,,,,True,1,add_input_change,,A6178_413_70647,,,,,multiply,0.8,,,,,,,,,,
16,energy_efficiency_capital,tech_change,Energy Efficiency with Capital Investment,Reduce energy inputs by 20% across all sectors - requires $300 capital investment before taking effect,100.0;100.0;100.0;100.0;100.0;0.0,,,,,,5,,,,True,2,set_capital_requirements,,,,,,,,,,,,,,,,,"{""A2227_974_71103"": 200.0, ""A3790_132_63"": 100.0}",2
